ID,Date_start_contract,Date_last_renewal,Date_next_renewal,Date_birth,Date_driving_licence,Distribution_channel,Seniority,Policies_in_force,Max_policies,Max_products,Lapse,Date_lapse,Payment,Premium,Cost_claims_year,N_claims_year,N_claims_history,R_Claims_history,Type_risk,Area,Second_driver_flag,Year_matriculation,Power,Cylinder_capacity,Value_vehicle,N_doors,Type_fuel,Length,Weight,Age
353,2016-10-01,2017-10-01,2018-10-01,1946-05-20,1964-10-01,1,2,1,1,1,1,2017-10-01,1,247.66,0,0,0,0.0,2,1,No,2004,90,1997,18180.0,5,D,4.137,1311,79.17864476386038
356,2016-10-17,2016-10-17,2017-10-17,1944-03-31,1970-09-25,0,19,3,3,1,1,2017-04-17,1,397.18,0,0,5,0.0,3,0,No,2000,82,1997,20300.0,5,P,4.419,1328,81.3141683778234
357,2007-09-10,2016-09-10,2017-09-10,1942-03-15,1964-04-16,0,12,1,1,1,0,2018-09-10,0,253.86,0,0,1,0.09,2,0,No,2003,71,1868,15450.0,5,D,4.137,1267,83.35934291581108
357,2007-09-10,2018-09-10,2019-09-10,1942-03-15,1964-04-16,0,12,1,1,1,1,2018-09-10,0,255.13,0,0,1,0.09,2,0,No,2003,71,1868,15450.0,5,D,4.137,1267,83.35934291581108
357,2007-09-10,2017-09-10,2018-09-10,1942-03-15,1964-04-16,0,12,1,1,1,0,2018-09-10,0,253.86,0,0,1,0.09,2,0,No,2003,71,1868,15450.0,5,D,4.137,1267,83.35934291581108
361,2016-07-18,2017-07-18,2018-07-18,1942-08-17,1975-11-14,0,11,2,3,1,1,2018-07-18,0,232.92,0,0,8,0.5,3,0,No,2004,90,1461,13230.97,5,D,4.388,1205,82.93497604380562
361,2016-07-18,2018-07-18,2019-07-18,1942-08-17,1975-11-14,0,11,1,3,1,1,2018-07-18,0,230.57,0,0,8,0.5,3,0,No,2004,90,1461,13230.97,5,D,4.388,1205,82.93497604380562
365,2015-08-11,2016-08-11,2017-08-11,1945-04-26,1966-05-20,1,2,1,2,1,1,2016-08-11,0,472.01,0,0,4,1.0,3,0,No,2004,150,1995,38800.0,5,D,4.856,1807,80.24366872005476
366,1994-06-30,2017-06-30,2018-06-30,1944-12-05,1964-10-08,0,40,1,2,1,1,2017-06-30,0,303.37,0,0,11,0.39,2,0,No,1994,60,1769,11076.65,3,D,3.995,945,80.63244353182752
375,2015-06-29,2016-06-29,2017-06-29,1945-01-14,1990-02-15,1,2,1,1,1,1,2016-06-29,0,261.56,0,0,0,0.0,3,1,Yes,2000,90,1997,15360.67,5,D,4.03,1230,80.52292950034223
379,2009-03-26,2016-03-26,2017-03-26,1945-12-17,1966-05-16,0,17,3,3,1,1,2016-03-26,0,290.51,0,0,5,0.14,2,0,No,1997,85,1997,19540.0,5,D,4.655,1635,79.60027378507871
382,2016-03-30,2016-03-30,2017-03-30,1946-07-27,1976-12-12,0,2,1,1,1,0,2017-03-30,0,237.7,0,0,0,0.0,2,0,No,2005,90,1997,18300.0,4,D,4.137,1220,78.99247091033538
382,2016-03-30,2017-03-30,2018-03-30,1946-07-27,1976-12-12,0,2,1,1,1,1,2017-03-30,0,242.45,0,0,0,0.0,2,0,No,2005,90,1997,18300.0,4,D,4.137,1220,78.99247091033538
384,2012-03-26,2016-03-15,2017-03-15,1980-01-08,1998-06-18,0,4,1,1,1,1,2016-03-15,0,330.27,0,0,0,0.0,3,0,No,1997,125,2835,24440.37,3,D,4.145,1730,45.541409993155376
386,2008-01-17,2016-01-15,2017-01-15,1941-09-07,1966-04-18,0,20,1,2,1,1,2016-01-15,0,334.84,0,0,21,0.25,3,0,No,2008,92,1560,18450.0,5,D,4.078,1277,83.87679671457906
389,2015-07-01,2016-07-01,2017-07-01,1981-08-23,2009-05-11,1,4,1,1,1,0,2018-07-01,1,442.35,0,0,1,0.33,3,1,No,2005,163,1995,34500.0,4,D,4.52,1430,43.917864476386036
389,2015-07-01,2018-07-01,2019-07-01,1981-08-23,2009-05-11,1,4,1,1,1,1,2018-07-01,1,437.91,0,0,1,0.33,3,1,No,2005,163,1995,34500.0,4,D,4.52,1430,43.917864476386036
389,2015-07-01,2017-07-01,2018-07-01,1981-08-23,2009-05-11,1,4,1,1,1,0,2018-07-01,1,442.33,0,0,1,0.33,3,1,No,2005,163,1995,34500.0,4,D,4.52,1430,43.917864476386036
390,2010-04-22,2016-04-22,2017-04-22,1949-05-20,1967-11-21,0,7,1,3,1,1,2016-04-22,0,251.12,0,0,7,0.17,3,1,No,2005,90,1753,13913.43,5,D,4.174,1194,76.17796030116358
391,2009-04-30,2016-01-23,2017-01-23,1940-05-23,1960-06-25,1,11,1,2,1,0,2017-01-23,0,220.97,0,0,3,0.39,3,1,No,2009,70,1248,13200.0,5,D,3.839,1060,85.1690622861054
391,2009-04-30,2017-01-23,2018-01-23,1940-05-23,1960-06-25,1,11,1,2,1,1,2017-01-23,0,227.6,0,0,3,0.39,3,1,No,2009,70,1248,13200.0,5,D,3.839,1060,85.1690622861054
394,2016-02-19,2017-02-19,2018-02-19,1950-02-05,1973-10-18,1,2,1,2,1,1,2017-02-19,1,266.36,0,0,2,1.99,3,0,No,2000,113,2998,33903.09,5,D,4.78,1500,75.4633812457221
